acacia retinodes
amaranthus caudatus
arctotheca populifolia
asphodelus fistulosus
atriplex holocarpa
austrocylindropuntia subulata
boerhavia coccinea
carpobrotus aequilaterus
centaurea melitensis
cotula coronopifolia
cylindropuntia imbricata
cynodon dactylon
diplotaxis tenuifolia
disphyma australe
eleusine indica
fallopia convolvulus
glaucium corniculatum
histiopteris incisa
hydrocotyle verticillata
maireana brevifolia
myoporum insulare
phalaris canariensis
prosopis pallida
prosopis velutina
sisymbrium orientale
sparaxis bulbifera
swainsona formosa
xanthorrhoea australis
