abies fraseri
abutilon theophrasti
acacia retinodes
acer campestre
acer negundo
acer pseudoplatanus
acer saccharinum
acinos arvensis
aconitum napellus
acorus calamus
actaea rubra
adiantum capillus-veneris
adoxa moschatellina
aegilops cylindrica
aegilops geniculata
aegopodium podagraria
aesculus hippocastanum
aesculus octandra
aesculus parviflora
aethusa cynapium
agastache foeniculum
agrimonia eupatoria
agropyron pectinatum
agrostemma githago
agrostis capillaris
agrostis stolonifera
achillea alpina
achillea filipendulina
achyranthes aspera
ailanthus altissima
aira caryophyllea
akebia quinata
albizia lebbeck
alcea rosea
alchemilla xanthochlora
alisma plantago-aquatica
alliaria petiolata
allium cernuum
allium neapolitanum
allium rotundum
allium schoenoprasum
allium textile
allium victorialis
alnus glutinosa
alnus incana
alopecurus aequalis
alopecurus geniculatus
alopecurus pratensis
alternanthera pungens
althaea hirsuta
alyssum alyssoides
amaranthus albus
amaranthus blitoides
amaranthus caudatus
amaranthus lividus
amaranthus powellii
amaranthus retroflexus
amaryllis belladonna
ambrosia artemisiifolia
amelanchier alnifolia
amerorchis rotundifolia
amorpha fruticosa
anagallis arvensis
anagallis foemina
anaphalis margaritacea
andromeda polifolia
androsace chamaejasme
androsace maxima
androsace septentrionalis
anemone canadensis
anemonella thalictroides
anemone multifida
angelica lucida
angelica sylvestris
anchusa azurea
anchusa barrelieri
anchusa officinalis
anthemis arvensis
anthemis cotula
anthemis tinctoria
anthoxanthum odoratum
anthriscus caucalis
anthriscus sylvestris
anthyllis vulneraria
antigonon leptopus
antirrhinum majus
apera spica-venti
aphanes australis
apium graveolens
apium repens
aquilegia vulgaris
arabidopsis thaliana
arabis alpina
arabis glabra
arabis hirsuta
arachis hypogaea
aralia elata
aralia nudicaulis
araujia sericifera
arctium lappa
arctium minus
ardisia crenata
arenaria serpyllifolia
argemone mexicana
argemone ochroleuca
aristolochia clematitis
aristolochia macrophylla
armeria maritima
arnica cordifolia
arnoseris minima
aronia melanocarpa
arrhenatherum elatius
artemisia absinthium
artemisia borealis
artemisia campestris
artemisia frigida
artemisia ludoviciana
artemisia pontica
artemisia vulgaris
aruncus vulgaris
arundo donax
asclepias curassavica
asclepias speciosa
asclepias syriaca
asimina triloba
asparagus officinalis
asperula arvensis
asplenium adiantum-nigrum
asplenium ruta-muraria
asplenium septentrionale
asplenium trichomanes
asplenium viride
aster alpinus
astragalus australis
astragalus crassicarpus
astragalus danicus
astragalus drummondii
astragalus gilviflorus
athyrium distentifolium
athyrium filix-femina
atriplex holocarpa
atriplex hortensis
atriplex littoralis
atriplex oblongifolia
atriplex patula
atriplex rosea
atriplex tatarica
avena fatua
avenella flexuosa
avenula pubescens
avicennia germinans
bacopa monnieri
ballota nigra
balsamorhiza sagittata
barbarea stricta
barbarea vulgaris
bartsia alpina
bartsia trixago
batrachium trichophyllum
belamcanda chinensis
bellis perennis
berteroa incana
berula erecta
bidens cernua
bidens frondosa
bidens tripartita
bifora radians
bistorta vivipara
bituminaria bituminosa
blechnum spicant
boerhavia coccinea
bolboschoenus maritimus
borago officinalis
bothriochloa ischaemum
botrychium lunaria
botrychium matricariifolium
botrychium multifidum
botrychium virginianum
bouteloua gracilis
brachypodium pinnatum
brachypodium sylvaticum
breitungia oregana
brickellia grandiflora
briza maxima
briza media
bromus arvensis
bromus erectus
bromus hordeaceus
bromus inermis
bromus japonicus
bromus secalinus
bromus tectorum
broussonetia papyrifera
bryonia alba
buddleja davidii
bunias orientalis
bupleurum rotundifolium
butomus umbellatus
caesalpinia gilliesii
cakile edentula
cakile maritima
calamagrostis epigejos
calendula arvensis
calendula officinalis
calla palustris
callitriche palustris
callitriche stagnalis
calluna vulgaris
calotropis procera
caltha natans
caltha palustris
calycanthus floridus
calystegia sepium
calystegia soldanella
camelina microcarpa
camelina sativa
campanula bononiensis
campanula medium
campanula rapunculoides
campanula rotundifolia
campsis radicans
canadanthus modestus
cannabis ruderalis
cannabis sativa
canna glauca
capparis spinosa
capsella bursa-pastoris
caragana arborescens
cardamine flexuosa
cardamine hirsuta
cardamine impatiens
cardamine pratensis
cardaminopsis petraea
cardaria draba
carduus acanthoides
carduus crispus
carduus nutans
carex acutiformis
carex aquatilis
carex arenaria
carex atrata
carex atrofusca
carex aurea
carex buxbaumii
carex canescens
carex capillaris
carex capitata
carex caryophyllea
carex demissa
carex diandra
carex dioica
carex distans
carex divisa
carex echinata
carex extensa
carex filifolia
carex flacca
carex flava
carex grayi
carex hirta
carex hostiana
carex chordorrhiza
carex inops
carex inops subsp. heliophila
carex lachenalii
carex lasiocarpa
carex lepidocarpa
carex limosa
carex loliacea
carex magellanica
carex nigra
carex ovalis
carex panicea
carex pauciflora
carex pseudocyperus
carex rostrata
carex rupestris
carex saxatilis
carex spicata
carex sylvatica
carex vesicaria
carex viridula
carpobrotus edulis
carthamus lanatus
carthamus tinctorius
carya ovata
cassiope mertensiana
catabrosa aquatica
catalpa bignonioides
catharanthus roseus
caulophyllum thalictroides
celosia argentea
centaurea aspera
centaurea cyanus
centaurea diffusa
centaurea jacea
centaurea macrocephala
