abutilon theophrasti
acacia mearnsii
acanthus mollis
acer campestre
acer pseudoplatanus
achyranthes aspera
adenocarpus foliolosus
adiantum capillus-veneris
adiantum hispidulum
adiantum incisum
adiantum philippense
adiantum reniforme
aegilops geniculata
aeonium arboreum
aeonium canariense
aeonium castello-paivae
aeonium glandulosum
aeonium glutinosum
aeonium goochiae
aeonium gorgoneum
aeonium haworthii
aeonium hierrense
aeonium lancerottense
aeonium lindleyi
aeonium mascaense
aeonium nobile
aeonium palmense
aeonium percarneum
aeonium rubrolineatum
aeonium sedifolium
aeonium simsii
aeonium spathulatum
aeonium tabuliforme
aeonium undulatum
aeonium urbicum
aeonium viscatum
aerva javanica
agapanthus praecox
agave americana
agave attenuata
ageratina adenophora
ageratina riparia
agrimonia eupatoria
agrostemma githago
agrostis capillaris
agrostis stolonifera
aichryson divaricatum
aichryson laxum
aichryson porphyrogennetos
aichryson villosum
ailanthus altissima
aira caryophyllea
aira praecox
aizoon canariense
ajuga iva
albizia lebbeck
alisma lanceolatum
allagopappus dichotomus
allium neapolitanum
allium paniculatum
allium roseum
allium rotundum
allium sphaerocephalon
alnus cordata
alnus glutinosa
alnus incana
aloe arborescens
aloe vera
alopecurus geniculatus
alopecurus myosuroides
alopecurus pratensis
alpinia zerumbet
amaranthus albus
amaranthus blitoides
amaranthus caudatus
amaranthus lividus
amaranthus retroflexus
amaryllis belladonna
anagallis arvensis
anagallis foemina
anchusa azurea
andryala glandulosa
andryala pinnatifida
anethum graveolens
annona reticulata
anogramma leptophylla
anthemis arvensis
anthemis cotula
anthemis tinctoria
anthoxanthum odoratum
anthriscus caucalis
anthyllis lemanniana
antirrhinum majus
apium graveolens
apium repens
apollonias barbujana
aptenia cordifolia
aquilegia vulgaris
arabidopsis thaliana
arabis alpina
araujia sericifera
arbutus canariensis
arbutus unedo
arctium minus
arenaria serpyllifolia
argemone mexicana
argemone ochroleuca
argyranthemum foeniculaceum
argyranthemum frutescens
argyranthemum hierrense
argyranthemum maderense
argyranthemum pinnatifidum
