allamanda cathartica
ananas comosus
asclepias curassavica
bidens alba
bixa orellana
bursera simaruba
byrsonima crassifolia
chamaecrista nictitans
couroupita guianensis
cyrilla racemiflora
desmodium incanum
eleusine indica
epidendrum ciliare
epidendrum ibaguense
epidendrum imthurnii
erechtites hieraciifolius
euphorbia hirta
furcraea foetida
gaultheria erecta
gossypium barbadense
gynerium sagittatum
handroanthus ochraceus
heliamphora nutans
histiopteris incisa
hymenocallis littoralis
hymenophyllum hirsutum
maguireothamnus speciosus
monochaetum bonplandii
mucuna urens
najas marina
orectanthe sceptrum
pleopeltis macrocarpa
roupala montana
sphagneticola trilobata
stegolepis guianensis
tillandsia usneoides
ugni myricoides
utricularia humboldtii
